SID,NUMBER,ISO_TIME,NATURE,LAT,LON
1861355S11068,36,1861-12-20 18:00:00,Not reported,-11,68.3
1862001S12081,1,1862-01-01 06:00:00,Not reported,-11.9,81.5
1862001S12104,2,1862-01-01 06:00:00,Not reported,-12.4,104
1862001S13103,3,1862-01-01 06:00:00,Not reported,-13.1,103.1
1862011S21051,4,1862-01-11 06:00:00,Not reported,-20.9,51.4
1862021S12055,5,1862-01-21 06:00:00,Not reported,-11.9,55.3
1862052S08080,6,1862-02-21 06:00:00,Not reported,-7.8,79.6
1862052S23092,7,1862-02-21 06:00:00,Not reported,-23.4,91.5
1862060S19101,8,1862-03-01 00:00:00,Not reported,-19.3,100.6
1862070S15063,9,1862-03-10 18:00:00,Not reported,-15,63.1
1862080S09082,10,1862-03-21 06:00:00,Not reported,-9.2,82.1
1862080S09442,11,1862-03-20 18:00:00,Not reported,-9.3,81.9
1862147N28285,12,1862-05-26 12:00:00,Subtropical,27.5,-75.2
1862166N32284,13,1862-06-15 00:00:00,Tropical,32,-75.6
1862189N28275,14,1862-07-07 12:00:00,Tropical,28,-85.3
1862198N27264,15,1862-07-16 12:00:00,Tropical,26.7,-96
1862229N24294,16,1862-08-16 18:00:00,Tropical,23.9,-65.6
1862237N24265,17,1862-08-24 12:00:00,Tropical,24,-95.2
1862247N15326,18,1862-09-03 12:00:00,Tropical,15,-34.5
1862251N15325,19,1862-09-08 00:00:00,Tropical,15,-34.8
1862255N26286,20,1862-09-12 00:00:00,Tropical,25.8,-73.8
1862274S04058,21,1862-09-30 18:00:00,Not reported,-4,58.4
1862275N12308,22,1862-10-01 12:00:00,Tropical,12.2,-52.5
1862279N13299,23,1862-10-06 00:00:00,Tropical,13,-61
1862284S04059,24,1862-10-11 06:00:00,Not reported,-3.6,59
1862287N33290,25,1862-10-14 00:00:00,Tropical,33,-69.6
1862305S12062,26,1862-10-31 18:00:00,Not reported,-12.3,61.8
1862315S12062,27,1862-11-11 06:00:00,Not reported,-12.1,61.8
1862326N11280,28,1862-11-21 12:00:00,Tropical,10.5,-80
1862345S07089,29,1862-12-10 18:00:00,Not reported,-7,89.4
1862345S07090,30,1862-12-11 06:00:00,Not reported,-6.8,90.2
1863011S11055,1,1863-01-11 06:00:00,Not reported,-10.5,55.1
1863011S12055,2,1863-01-11 06:00:00,Not reported,-11.6,54.7
1863032S12059,3,1863-02-01 06:00:00,Not reported,-12.1,59.3
1863032S13061,4,1863-02-01 06:00:00,Not reported,-12.7,61.1
1863032S14058,5,1863-02-01 06:00:00,Not reported,-14,57.8
1863039S13061,6,1863-02-07 18:00:00,Not reported,-13,60.6
1863042S15073,7,1863-02-11 06:00:00,Not reported,-14.8,72.8
1863046S15073,8,1863-02-14 18:00:00,Not reported,-14.9,72.5
1863111S13081,9,1863-04-20 18:00:00,Not reported,-13.1,80.5
1863121S07089,10,1863-04-30 18:00:00,Not reported,-7.3,88.8
1863141S07089,11,1863-05-21 06:00:00,Not reported,-7,89.1
1863145N27272,12,1863-05-24 18:00:00,Tropical,27,-88
1863217N35284,13,1863-08-05 06:00:00,Extratropical,34.5,-76
1863220N38309,14,1863-08-08 00:00:00,Tropical,37.7,-50.8
1863228N26299,15,1863-08-15 12:00:00,Tropical,25.5,-61.5
1863230N39302,16,1863-08-18 00:00:00,Tropical,39.4,-58.5
1863231N27293,17,1863-08-19 00:00:00,Tropical,26.5,-66.6
1863239N31281,18,1863-08-26 18:00:00,Tropical,31.3,-78.7
1863248N11308,19,1863-09-05 00:00:00,Tropical,10.5,-52.5
1863255N15300,20,1863-09-11 12:00:00,Tropical,14.5,-59.8
1863262N23264,21,1863-09-18 12:00:00,Tropical,22.5,-96.5
1863270N21267,22,1863-09-26 12:00:00,Tropical,21.3,-93.5
1863270N31290,23,1863-09-26 12:00:00,Tropical,31.1,-70.1
1863279N21300,24,1863-10-05 12:00:00,Tropical,21,-59.8
1863305S12086,25,1863-10-31 18:00:00,Not reported,-12.3,86
1863325S12086,26,1863-11-21 06:00:00,Not reported,-12.4,86.4
1863335S17067,27,1863-11-30 18:00:00,Not reported,-16.8,66.8
1864011S06081,1,1864-01-11 06:00:00,Not reported,-6.4,80.9
1864011S07080,2,1864-01-11 06:00:00,Not reported,-7.1,79.6
1864052S14079,3,1864-02-21 06:00:00,Not reported,-13.9,78.8
1864052S15067,4,1864-02-21 06:00:00,Not reported,-15.4,67.3
1864102S07069,5,1864-04-10 18:00:00,Not reported,-7.1,69
1864112S09075,6,1864-04-21 06:00:00,Not reported,-9.3,75.3
1864112S10075,7,1864-04-20 18:00:00,Not reported,-9.6,75.1
1864197N35285,8,1864-07-15 00:00:00,Extratropical,35,-75.5
1864206N32286,9,1864-07-23 12:00:00,Subtropical,32.4,-73.6
1864208N24271,10,1864-07-25 12:00:00,Tropical,24,-89
1864239N15306,11,1864-08-26 00:00:00,Tropical,14.8,-54.5
1864240N33319,12,1864-08-26 12:00:00,Tropical,33,-41
1864243N15338,13,1864-08-29 12:00:00,Tropical,15,-22.5
1864246N17315,14,1864-09-02 00:00:00,Tropical,17.3,-44.8
1864249N33288,15,1864-09-05 00:00:00,Tropical,33,-72.5
1864283N18290,16,1864-10-08 12:00:00,Tropical,17.7,-70.2
1864294N15326,17,1864-10-19 12:00:00,Tropical,14.5,-34.5
1864296N29288,18,1864-10-22 00:00:00,Tropical,28.5,-72
1865011S14057,1,1865-01-11 06:00:00,Not reported,-14.2,57.2
1865011S14058,2,1865-01-11 06:00:00,Not reported,-13.8,58.2
1865021S32056,3,1865-01-21 06:00:00,Not reported,-32.1,55.9
1865021S32057,4,1865-01-21 06:00:00,Not reported,-32.1,57.2
1865042S12095,5,1865-02-11 06:00:00,Not reported,-12,94.6
1865046S12094,6,1865-02-14 18:00:00,Not reported,-12.2,94.3
1865052S13058,7,1865-02-21 06:00:00,Not reported,-12.9,58.2
1865080S11085,8,1865-03-20 18:00:00,Not reported,-11.2,85.2
1865080S11086,9,1865-03-21 06:00:00,Not reported,-10.9,85.6
1865101S09076,10,1865-04-11 06:00:00,Not reported,-9.4,76.1
1865150N13280,11,1865-05-30 00:00:00,Tropical,13,-80
1865182N26263,12,1865-06-30 12:00:00,Tropical,26,-97.5
1865232N30282,13,1865-08-20 00:00:00,Tropical,30.3,-78.3
1865239N24282,14,1865-08-26 12:00:00,Tropical,24.2,-77.6
1865247N13318,15,1865-09-04 00:00:00,Tropical,13,-42.3
1865250N30268,16,1865-09-07 00:00:00,Tropical,29.7,-92
1865252N15319,17,1865-09-08 12:00:00,Tropical,15,-41
1865267N20287,18,1865-09-23 12:00:00,Tropical,20,-73
1865274N20278,19,1865-09-30 12:00:00,Tropical,19.5,-82.3
1865282N19289,20,1865-10-08 12:00:00,Tropical,18.8,-70.6
1865287N11303,21,1865-10-14 06:00:00,Tropical,10.5,-57.2
1865297N28280,22,1865-10-24 06:00:00,Tropical,28.1,-79.8
1865335S13061,23,1865-11-30 18:00:00,Not reported,-12.8,60.6
1866001S13066,1,1866-01-01 06:00:00,Not reported,-12.8,66.1
1866032S19072,2,1866-02-01 06:00:00,Not reported,-19.3,72
1866032S20072,3,1866-01-31 18:00:00,Not reported,-19.5,71.7
1866060S13091,4,1866-02-28 18:00:00,Not reported,-13.3,90.6
1866080S14080,5,1866-03-20 18:00:00,Not reported,-14,80.2
1866091S11082,6,1866-03-31 18:00:00,Not reported,-10.8,81.6
1866101S07089,7,1866-04-11 00:00:00,Not reported,-7.2,88.6
1866101S13073,8,1866-04-10 18:00:00,Not reported,-12.5,72.6
1866101S14051,9,1866-04-11 06:00:00,Not reported,-14.4,51.1
1866101S15051,10,1866-04-10 18:00:00,Not reported,-15,51.2
1866101S16054,11,1866-04-11 00:00:00,Not reported,-15.6,53.7
1866101S16060,12,1866-04-11 06:00:00,Not reported,-15.7,59.8
1866153N29270,13,1866-06-01 12:00:00,Tropical,28.5,-89.9
1866193N27271,14,1866-07-11 12:00:00,Tropical,27.2,-88.8
1866225N14298,15,1866-08-13 00:00:00,Tropical,14.5,-61.9
1866229N20271,16,1866-08-17 06:00:00,Tropical,20.4,-88.8
1866242N14307,17,1866-08-29 12:00:00,Tropical,14.4,-53.5
1866247N33292,18,1866-09-04 00:00:00,Tropical,33,-68.1
1866260N12333,19,1866-09-17 00:00:00,Tropical,12.1,-26.7
1866263N36292,20,1866-09-19 18:00:00,Tropical,35.5,-68
1866264N11342,21,1866-09-20 12:00:00,Tropical,11.3,-18.5
1866270N25284,22,1866-09-26 12:00:00,Tropical,24.7,-75.8
1866295N28326,23,1866-10-21 12:00:00,Tropical,27.5,-34
1866302N33285,24,1866-10-28 12:00:00,Subtropical,32.5,-75
1866305S09073,25,1866-10-31 18:00:00,Not reported,-8.7,72.6
1867011S11072,1,1867-01-11 06:00:00,Not reported,-10.8,72
1867032S15081,2,1867-02-01 06:00:00,Not reported,-15.4,80.9
1867032S15441,3,1867-01-31 18:00:00,Not reported,-15.4,80.7
1867042S15071,4,1867-02-11 06:00:00,Not reported,-14.6,71.3
1867046S15071,5,1867-02-14 18:00:00,Not reported,-14.7,71.2
1867121S13069,6,1867-04-30 18:00:00,Not reported,-13.1,69.1
1867121S13070,7,1867-05-01 06:00:00,Not reported,-12.9,69.5
1867172N28280,8,1867-06-20 12:00:00,Subtropical,27.8,-79.7
1867200N19268,9,1867-07-19 00:00:00,Tropical,18.9,-92.5
1867209N18303,10,1867-07-28 00:00:00,Tropical,18.5,-56.6
1867215N14283,11,1867-08-02 12:00:00,Tropical,14,-77
1867223N24278,12,1867-08-10 12:00:00,Tropical,24,-82.5
1867242N12333,13,1867-08-29 12:00:00,Tropical,12.3,-27.5
1867243N31288,14,1867-08-31 00:00:00,Tropical,30.8,-71.6
1867243N33283,15,1867-08-30 12:00:00,Tropical,32.5,-76.7
1867247N12340,16,1867-09-03 12:00:00,Tropical,12.2,-20.2
1867259N27269,17,1867-09-15 12:00:00,Tropical,27.3,-90.7
1867268N18278,18,1867-09-25 00:00:00,Tropical,18.2,-82
1867268N30303,19,1867-09-24 12:00:00,Tropical,29.5,-57.5
1867270N36291,20,1867-09-27 00:00:00,Subtropical,35.5,-69.5
1867272N30286,21,1867-09-29 00:00:00,Tropical,30.1,-73.6
1867281N14301,22,1867-10-08 00:00:00,Tropical,14.1,-59
1867283N18297,23,1867-10-09 12:00:00,Tropical,17.5,-62.8
